5522074,Evan,,,,,,,,,,,,
5522077,Jinna,Investor,,,,,,,0,,,,
5522079,Gina,Ecosystem Partner,UnitedStatesofAmerica,Boston,Massachusetts,"I am currently in a transition period, having finished my Fulbright fellowship in Mexico City and moved back to Boston. While I continue working part-time for the impact venture builder I worked for in Mexico, I want to pivot into the climate tech space with the goal of beginning a full-time role in the industry in the first few months of 2024. However, seeing as a) this is much more easily said than done and b) I’m not yet sure if I’d like to angle as VC or startup operations, I believe this is the perfect part-time role to make those distinctions and, eventually, decisions. It would be a huge asset in building a network within the industry and exploring specific sub-industries of interest (EV, circular economy, alternative materials).",Helping corporates decarbonize with 4WARD.VC's corporate sustainability program,"Learn more about climate tech,Land job in climate,Network with 1000s of Climate Techies,Get more involved in climate space",Manufacturing & Materials,VC,No,,
5522080,Jillian,Startup,,,,,,,,,,,
5522081,Arush,Ecosystem Partner,,,,,,,,,,,
5522083,Ricardo,Investor,Ecuador,Middletown,,"5+ years in early stage companies including 2 in VC
-Lead gen, biz dev, finance, fundraising","As an experienced investment professional, I am passionate about leveraging my financial and outbound sales expertise to positively impact society and our environment, with a particular focus on climate tech. With a background in M&A, fintech, lead generation and venture capital, I have a track record of conducting FP&A, managing the entire investment lifecycle and conducting in-depth financial analysis to drive strategic decision-making. I am committed to building meaningful relationships with entrepreneurs and investors. I thrive in dynamic, fast-paced environments where I can make a real difference.",Network with 1000s of Climate Techies,Water & Natural Resources,,Yes - VC,,
5522084,Nadia,Startup,Portugal,Madeira,,"Being an optimistic realist and having been exposed to many cultures growing up, I am passionate and determined to find solutions to social and environmental challenges around the world. 

I have increased efficiency, sustainability, and business growth of mission­-driven organisations through the On Purpose programme, and through The Impact Collective and SafetyNet Technologies, both which I co-founded. Previously, I worked in consumer research and product development at P&G, started a night market business, and picked up business knowledge from INSEAD. 

Combined with the social sector and leadership experience I’ve attained, I love to build impact ecosystems by helping organisations become sustainably and socially successful through using business as a force for good.",Building Climate Techies into the ultimate collaborative climate community,"Get more involved in climate space,Learn more about climate tech,Network with 1000s of Climate Techies",,,No,,
5522085,Jonas,Investor,Switzerland,Zürich,,"Economics degree, background in (re)insurance and private equity",Climate VC Fellow @ 4WARD.VC focused on investor relations and accelerator company fundraising,"Get more involved in climate space,Learn more about climate tech,Land job in climate",VC,"Climate Fintech & Insurtech,Data or Risk Modeling,Utilities & Infrastructure",Yes - VC,,
5522088,Matt,Investor,Switzerland,Zurich,,"For context, I run 4WARD.VC's ""Partner in Clime"" Accelerator - a super hands-on program with 1-3 climate startups per month leveraging our 250+ mentors, our 14k+ Climate Techies community and networked growth hacking to land companies major new pilots/customers and help them scale

Alongside that, I also run The Startup Tank, (Dragons' Den/Shark Tank for climate companies) and Climate Techies, a global community of climate founders, VCs, corporates, govts and innovators focused on collaboratively combating climate change at a previously unimaginable scale where we run Slack and Whatsapp communities of 4k+ and host 4-8+ networking and collaboration events per month","I run 4WARD.VC and Climate Techies, a community of climate professionals focused on collaboratively combating climate change at a previously unimaginable scale","Get more involved in climate space,Learn more about climate tech,Network with 1000s of Climate Techies",,,Yes - VC,Can help connect you to almost anyone in climate space,Be awesome Climate Techies!
5522485,Matt,Startup,,,,,,,,,,,
5532851,Anna,Startup,UnitedStatesofAmerica,Decatur,Georgia,"I’m a builder with over a decade of experience in structuring processes to generate impact in climate justice and racial, gender, and income equality through impact investing and ESG measurement and management.",We are a climate tech company that leverages AI and ML to score climate change resilience like a “FICO” score.  We assist insurers and financial institutions to tap into a $2T market opportunity.,"Get more involved in climate space,Accelerate my climate startup,Find funding,Learn more about climate tech,Network with 1000s of Climate Techies",Climate and Weather Data,"Data or Risk Modeling,Ecosystem Building",No,"Contacts to climate resilience investors, experts, scholars, and more",Take the climate resilience challenge and help us build our MVP!
5533601,Eduardo,Startup,,,,,,,,,,,
5533833,Matt,Startup,,,,,,,,,,,
